Yorum,Etiket
hemen soluyor rengi atıyor,0
ilk yikamada çekti.,0
Rengini hemen atıyor tam siyah değil böyle lacivert bir şey oluyor ilk yıkamada yıkama talimatına göre yıkandığı halde,0
Düşük kalite,0
Yıkanınca çekti :(((,0
"Kumaşını pamuk demişsiniz ama uzaktan yakından alakası yok, sert naylonsu bir kumaş . Almış bulundum ama acelem var oyüzden kullanacağım artık",0
Ürünü l beden sipariş ettim m beden geldi ince ve kalitesiz,0
Eğer boyunuz 1.50 cm'nin üstünde ise artık göbek deliğiniz dışarda dolaşırsınız.(L) beden aldım bel hizasında kaldı. Artık oğlum bol bol tişört olarak giysin diye geri yollamadım. 10 cm daha uzun yapmadınız da ne oldu.,0
"Geçen sene aldığımla bugun aldığım tişörtün kumaşı arasında iki Cihan kadar fark var, leş gibi",0
kalıpları çok küçük,0
S almama rağmen boynu geniş kalıyor,0
Xl beden S havasında böyle bir şey olamaz,0
1.82 90 kiloyum bol dursun diye 3XL aldım ancak XL gibi durdu. Kumaşı naylonsu ve kalitesiz. Tamamen fason bir malzeme. Altınyıldız kalitesiyle alakası yok. Asla tavsiye etmem.,0
s benden istedim çok bol önü çok açık,0
kalite sıfır,0
3XL L boyutunda bilginiz olsun,0
"siyah, beyaz ve bej renklerinden 2şer tane aldim bej rengi hariç diger dört tanesi dikiş yerlerinden döndü. gecen yıl aldigim tişörtlerle kalitesinin alakasi yok",0
Tam bedenimi aldım. Ancak küçük geldi ben gelir gelmez denemeden yıkamak zorundayım vücudum alerji kapıyor bu nedenle yıkadım ancak 4 tane tişört olmadı 1’ini yanlışlıkla bi beden büyük almışım o çok güzel oldu. Şimdi bu konuda bana nasıl yardımcı olabilirsiniz? Herhangi bi mağazada değişim yapabiliyor muyum?,0
m beden aldım boyu çok uzundu,0
"siyah ti şörtü 3xl sipariş vermemize rağmen xl göndermişler. Azərbaycan olduğu için iade edemiyoruz. Eğer yoksa, neden yok demiyorsunuz, gerçekten hayal kırıklığına uğradım.",0
Kendi bedenimden bir büyük beden söyledim daha giymeden yıkandı 2 beden küçük geldi,0
Yumuşacık kumaşları olan şahane tshirtler üretiyorlardı ancak son siparişimde kazık gibi sert ve kalitesiz kumaşlara sahip tshirtler geldi.,0
L sifarish vermishdim s gelib(((,0
baya iyi bir üründür,0
eksik ürün ile alakalı 3 gün geçmesine rağmen dönüş olmadı. güvenerek aldığım satıcı ve markaydı kesinlikle düşünerek alış veriş yapın..,0
siyah yerine lacivert gönderim olmuş..lütfen işinize biraz daha dikkat edin,0
çok kötü bir kargo şirketleri var müşteri temsilcisi ayrı kargo haritalarda ayrı yerde gözüküyor kendi bildiğim ilçemde 2 buçuk saat boyunca aradım çok kötü 👎,0
Altınyıldız kalitesine takılmayan ürünler. Tişörtlerin tüm renklerinde L beden aldım ama yıkayınca S bedene düştü.,0
Ürün yıkandıktan sonra çekiyor 1 beden küçüldü.,0
L aldım yıkanınca S beddn oldu kalitesiz maalesef.,0
Her rengini satın aldım ucuz ve marka diye. Birkaç aydır da kullanıyorum. Düşük sıcaklıkta yıkasanız bile çekme yapıyor düdük gibi oluyor. XL farklı marka bedenime uyarken 3XL AC&Co bedenime uymuyor. Kesinlikle tavsiye etmiyorum.,0
30 . Derecede yıkadım ve baya çekti L bedene döndü hassas programda da yıkamıştım ve kurutma makinesine de atmadım astım çok beğendim bir markaydı böyle olması üzücü,0
ilk gelince kumaş kalitesi falan çok iyiydi.. lakin 1 kere yıkandıktan sonra 2xl olan ürün bildiğin medium oldu.. düşük derecede yıkanmasına rağmen çok fazla çekiyor bilginiz olsun.,0
"Xxl aldım, s beden yollandı",0
Slim fit falan degil?,0
Kaliteli müşteriye uygun fiyat teşekkür ederim,0
İlk kullanımda gayet iyi gibiydi tek yıkamada ufacık oldu resmen 2 beden küçüldü,0
kalıbı çok küçük,0
"Aynı ürünün lacivert ve gri rengini aldım. Onlar tam olurken siyah renk bu ürün xs gibi duruyor, çok küçük geldi. Markanın bedenlerinde sıkıntı var.",0
Rengi çabuk gidiyor,0
Bunlar asla altınyıldıza yakışır tişörtler değil beden olarak kesinlikle bir büyük alın alıcaksımız ama tavsiye etmem,0
xs model bile büyük geldi kalıbı aşırı geniş,0
güzel ürun tam bedeninizi aln,0
s beden istedim m beden göndermiş siniz,0
Eşime aldım Yeri çok kötü,0
ürünler çok ince maalesef altınyıldız kalitesine yakışmadı daha önce de almıştık çok güzeldi bu seferkiler incecik,0
Çok kötü naylon,0
"Geçen senede aynı ürünlerden seri şeklinde aldım, fakat ürün kalitesi düşmüş ve ince kumaştan yapılmış. Geçen seneki seri kalın pamuklu bu seneki seri incecik, kaliteden tercih ettiğimiz marka kalitesiz olmuş maalesef.",0
Boyum 1.74 kilom 70/71 arası omuzlar bir tık düşük oldu kollar uzun ve ürün 2/3 cm kadar bol açıklamasında slimfit diyor ama oversize kesim gibi puan olarak 6/10,0
bir ay önce L beden 3 adet almıştım onları çok beğenmiştim ama dar gelmişti bugün 5 adet XL aldım tişörtler elime ulaştı fakat ikisi arasında dağlar kadar fark var bunları kesinlikle beğenmedim,0
Slim fit yazıyor clasıc geldi bayram için sipariş vermiştim şimdi hiç iyi olmadı ama ürün kaliteli görünüyor,0
Tül gibi bir kumaş çok ince,0
Kumaşı çok ince hiç güzel değil,0
AŞIRI İNCE ÜRÜN ALTIN YILIDIZA YAKIŞAN BİR KALİTE ASLA DEĞİL TAVSİYE ETMEM.,0
"Makinada en soguk ile yikadim 2 beden kuculdu, 30 derecede yikasam yok olacak muhtemelen, yaziklae olsun bosa gitti param",0
Ürün orijinal değildir yeri kumaşı orijinalinden çok farklıdır aynı zamanda fatura talep etmeme rağmen faturami göndermiyorlar ürünü iade etmeye çalışıyorum onun için de faturasını talep etmeme rağmen göndermiyorlar,0
Ürünümün yerinə yalnış sifariş gəlib.,0
5 adet sipariş ettim bir tane göndermişler,0
Kargo ürünü getirmedi teslim edildi olarak gösterdi ürün almayın,0
Çok alakasız tişörtler gelmiş bedenleri hepsi büyük 3 adet istedim 5 adet gelmiş hepsi aynı renk bedenleri büyük,0
boyu kısa iade kalitesiz duruyordu,0
aynı ürün beyaz rengi xl rahat ama xl siyah rengi bir beden küçük gibi geliyor kalıp mı sorun kumaş mı anlamadım yatarken giymelik oldu.,0
%100 pamuk yazıyor ancak ilk giymede koku yapıyor kumaşından pamuk olmadığı belli çok fazla elastik.,0
"farklı renklerden 4 adet sipariş vermeme rağmen ""Stokta yok"" diyerek iptali sağlanmıştır. Şimdi sizlere soruyorum stokta yok ise kendi bedenimi ben nasıl seçebiliyorum? ben o ürünü veyahut başka bir ürünü aynı fiyattan almaya kalksam bu seferde kargo ücreti ödeyeceğim.. Uzun lafın kısası Altınyıldız pişmanlıktır...",0
Daha öncedende aldım ama bu sefer alakasız ürün geldi 2 adet xl sipariş verdim ikisinin renkleri ve boyutlar birbirinden farklı çıktı biri dar geldi diğeri ise geniş geldi. ilk adlıklarımdan kumaşı bile farklı çıktı. Ürünü bildiğimden denemedim direk makineye attım sonrasında iadede edemedim elimde kaldı..,0
ÇOOK KÖTÜ BİR ÜRÜN ALTINYILDIZ FİRMASINA YAKIŞMADI HEMEN SOLUYOR VE ÇEKME OLUYOR.,0
geçen sene aynı üründen sipariş vermiştim bu sene yine verdim hatta satıcı bile aynı ürün kalitesi o kadar düşmüş ki öncekiler taş gibi hala delinme ihtimali bile yok bu yeni gelenler o kadar ince ki atletler bile daha kalın yanında,0
%100 pamuklu dedikleri üründen kagit gibi hışırtı sesi geliyor. ucuz diye iade ile ugrasmadim,0
altınyıldızdan toplamda 15 adet tsort aldim. malesef siyah olsn fotografta görüldüğü gibi sökük geldi.,0
Slim fit olarak şipariş geçtim basic olarak geldi,0
"Kaliteyi çok düşürmüşler, bir yıkamada tişörtün kol uçları gitti ve tişört yamuldu.",0
kumaş kalitesi hiç iyi değil Yorumlara bakarak almıştım Yanılmışım,0
defolu geldi,0
kumaş kalitesi iyi degil.,0
çok ince altın yıldıza yakistirmadim,0
kumas boyası cıkıyor ufam ufam bu markaya yakısmayan bir kalite,0
4 tane siyah tişört alıp 3 nün sırtında delik çıkması tesadüf değildir diye düşünüyorum,0
Kalitesiz kumaşı kötü,0
pamuklu değil kesinlikle tavsiye etmiyorum hep tüylenme yaptı,0
gelmediğinden degerlendiremiyorum,0
Eşim için almıştım. ancak ilk yikamada hemen sündü. beğenmedim. tavsiye etmem,0
Çok kalitesiz bir ürün,0
Defolu mal,0
Daha önce almıştım fena değildi. Şimdiki aldıklarımda kalite sıfır kumaşları çok kötü. Pazardan alın daha iyi.,0
"rengi ilk yıkamada gitti, sakın almayin",0
Öncelikle merhaba ürünü alalı 8 9 ay oldu ilk 4 5 ay sorunsuz kullandım 4 5 aydan sonra rengi değişmeye başladı ve nedense çok terleten bir yapısı var esnek güzel ama 4. 5. Aydan sonra ne yazıkki memnun değilim.,0
Renk soluyor,0
arkadaşlar parasına göre pahalı yıkadıkxa birbirini çekiyor Çok kalitesiz bir ürün,0
Eksik sipariş gönderimi aldım lütfen hatanızı düzeltir misiniz,0
Çok ince ve kalıp dar. İlk yıkamada yamuldu.,0
Hemen kısaldı hiç memnun kalmadım,0
"Ürün kötü arkadaşlar, Altın Yıldız kalitesi hiç yok ( gerçi oda çok düşürdü kaliteyi, ayrı mesele) bir defa yıkanınca çok küçülüyor ve ağzı gözü başka bir yere kaydı…",0
Yıkanınca çekti,0
Ürünün yaka kısmında xl alt kısmında m yazıyor. Ürün m kalıp olarak geldi. İade ile uğraşmamak istemediğim için iade etmiyorum.Asla tavsiye etmiyorum.,0
siyah renk atıyor onu bilerek alın birazda çekme yapıyor,0
Beyaz ve Siyah renk istemiştim Siyah ve lacivert gelmiş kalitesi orta denilenilir buradan almanızı önermiyorum iade etmeye zamanım olmadığı için edemiyorum,0
Çok ince iç gösterecek kadar ince atletten farkı yok,0
"3 adet söyledim, siyah gri lacivert ikisini göndermişler, siyah tişört gelmedi, lütfen gönderin ya da para iadesi yapın",0
Dikişlerinde hata var kayık dikişleri yamuk geliyor tüm renklerinde aynı problem mevcut,0
Renk solması oldu. İyi ürün değil. Tamamen hayal kırıklığı.,0
Zamanla çekti malesef,0
Renkleri soldu malesef kalitesiz,0
Ürün geldiği gibi giydim yırtık olduğunu gördüm.,0
Kısa boyu yıkandıktan sonra iyice çekti.Cöp oldu maalesef.,0
Aynı beden iki ürün sadece renkleri farklı ama biri bol diğeri normal,0
Ürün ilk yıkamada çekti en az 2 beden,0
yan tarafında dikiş yok altinyildiz markasi biraz daha özenli olabilirsiniz gönderirken pazar mali almiyoruz..,0
ilk yikamada agzi burnu kaydi. nasil bu kadar populer olmus anlayamadim. rengi de soldu. asla tavsiye etmiyorum.,0
Çabuk soluyor siyah ta aldım lacivertte kötü yani boyu da kısa uzun boylular için tavsiye etmem,0
Üründe ilk kez 30 derecede 12 dk yıkama ile çekilme oldu param boşa mı gitti altınyıldız mağduriyetimin giderilmesini istiyorum. Resmini attım siyah olanı ilk kez 30 derecede yıkadım aynı bedenin arasındaki fark!,0
kısaldi almayın tavsiye etmem çekti,0
Daha az bilinen bir markadan alınan yeni tişört ile bunu birlikte yıkadım maalesef ilk yıkamada çekti diğer ürün sapa sağlam,0
tişört mü transparan mi belli değil altınyıldız diyip güvenip almayın pazardan aldıklarınız daha kaliteli içinizi full HD gösterir,0
"incecik bi kumaş, kaliteli fln değil",0
toplam 5 ürün siparişi verdim 4 adet gönderilmiş telafi eder misiniz,0
Ürünün boyu kısa geldi diğer bedenlerle karşılaştırdık,0
"10 adet beyaz ve siyah karışık renklerinden aldım, 2-3 adeti çekme yapmadı fakat kalan ürünlerin tamamı 3. yıkamadan sonra fazlasıyla çekme yapıyor.",0
çokk ince başka da iyi fena değil,0
5al 4 ode ile aldim ama 4 gonderdiler. kalitesi iyi,0
Belirli bir yıkamadan sonra küçülme yapıyor bilginiz olsun .Bulaşmayın .,0
RENGİ SOLDU,0
"Çiç ticayet mi yapıyoçunuc ah canım!!!! Iki adet aynı renk tshirt sipariş ediyorum biri başkaaa diğeri bambaşka renk, iki adet beyaz tshirt sipariş ediyorum biri kar beyazı digeri ekru!!! Bunasıl işbilmezliktir, bu nasıl insanı uğraştırmaktır!!!!!! 5 al 4 öde aldığım için hepsi iade edilecek te yeni siparişte doğrusu gelecek mi acaba!!!!! o da kamp",0
"Slim fit dar kesim açıklamasıyla satılan tshirt enine geniş boyu da standarttan daha kısa, pantolonun üstüne yetişmiyor. Bu kadar kötü kesimli olabileceğini düşünmemiştim. Ev tshirti oldu.",0
"İade değil değişim istedim, bakmamışlar bile.",0
siyah aldığım ürün neden beyaz geliyo,0
Çok geç kaygılandı.,0
Malesef 3 ürün siparişim 2 adet geldi ve hiçbir destek yok,0
Kumaşını beğenmedim ve rengi mankendeki gibi değil solgun,0
Aldığımız tişört defolu çıktı ilk yıkamada etek kısmındaki dikişler söküldü tişört delindi terziye yaptırdık.... Altın Yıldız güvendiğimiz beğendigimiz memnun kaldığımız bir markaydı. Bu sefer böyle bir problem yaşadık...😔,0
Ürün defolu geldi,0
"Bu tshirtten 2 ya da 3. kez alıyorum eşime. çok beğendiğimizden değil, altınyıldız'a bile iletmemi rağmen kimse ilgilenmedi. ÜRÜNÜ 30 DERECEDE YIKAMAMA RAĞMEN EN AZ 1 BEDEN ÇEKİYOR. Acaba dedim sıkma devri mi yüksek geliyor yenisini alınca onu denedim, yine çekti. acaba kurutma makinesinden mi dedim askıda kuruttum, yine çekti. Bu sorunu yaşayan bi",0
gelen ürün etiketsiz!,0
üstünüze kağıttan gömlek yapıp giyerseniz daha kaliteli olur. incecik ve kumaş değil kağıttan yapılmış gibi,0
Marka bozmuş leş gibi kokuyor aynı beden iki tane istedim biri dar biri geniş çook ince inşallah bu doğru yorumlarımı trendyol yayınlar neticede tarafısxKargolarım olunca takip ediyorum ama ptt getirecekse etmiyorum şünkü o artık onların ürünü 12 gün-15 gün canları nasıl isterse sizlerden tavsiyem bu kadar geç teslimat sağlandığı için başka bir sat,0
L beden almıştım. İlk yıkamada S beden oldu. Tavsiye etmiyorum. İade edeceğim. Paranıza yazık,0
Cok kotu hemen renk atiyo,0
içten kazak altına giyilir çok bol kesim beyenmedim yorum yapanlar herhalde dağ başında yaşıyan millet yoruma göre ürünü aldım,0
2 xl diye gönderilen modele kafam bile sığmadı,0
"Aldadirlar, olcu duz qondermirler",0
1 yıkamada rengi değişti siyah soluk siyaha döndü hiç markanın hakkını vermedi aldığıma pişman oldum resmen iadesi mümkün olsa iade ederdim,0
Etikete %100 Pamuk yazınca o ürün pamuk olmuyor. %100 naylon kalitesiz bişey bu,0
iyi değil . kalitesiz kumaş,0
"oğlum için aldim ve bir kere giydi yıkandı fakat t-shirt küçüldü yani çekti , maalesef bir daha giyilemez durumda",0
2 yıkamada yırtıldı cok ciddiyim koltuk altlarından yırtıldı dikişlerden degıl kumastan,0
İlk yıkamada çekti rengi soldu,0
30 derecede yıkanmasına rağmen çok fazla çekti. giyince göbeğim görünüyor,0
ürün defolu geldi.İade talebinde bulundum.,0
ilk yıkamada çekti ve küçüldü,0
Bi yikanmada 5 beden kuculdu bu ne sacmalik boyle soguk suyla yikandi bide,0
Ürünün aynısını daha önce de almıştım beğenerek. Tekrar aldım ama göbek kısmında kumaş defosu var delik kumaş nasıl iade edeceğim şimdi,0
L aldım 30 derecede tek yıkamada ürün S bedene düştü şaka gibi,0
Aynı siparişte beş adet tişört aldım iki tanesi Melanj üç tanesi %100 pamuk geldiğinde denedim hepsinin kalıbı iyi ve üzerime oturmuş şekildeydi ancak ilk yıkamadan sonra %100 pamuk olan tişörtler küçüldü. Göbeğim açıkta kalmaya başladı. Üstelik etek boyu gayet uzundu ilk başta Melanj olan tişörtler da hiçbir sıkıntı yok. Hepsi 2xl. Bu durumda iade,0
Siyah renk makine ile yıkamada 1 beden kadar küçülüyor.,0
kumaş kalitesi kötü,0
Kargo çok yavaştı. 13. Günde teslim aldım,0
ürün delik çıktı,0
Altınyıldız gibi bir markaya yakışmayan ürün vücudunuza çok tüy bırakıyor gerçekten çok kötü bir ürün,0
%100 Pamuklu değil. %50 Polyester %50 Pamuk. Ayrıca bir üründe yakada potluk var. Diğer markalardan bu fiyata hatta bir tık daha uygun fiyata almayı tercih ederim.,0
1 kere giydim 30 da yıkadım çekti giyemiyorum. Yıkamayacaksanız alın,0
Çok geç geldi.,0
Böyle kötü ürün görmedim ilk geldiğinde diğer renklere göre küçüktü bedeni ve ilk yıkamada çok küçüldü altınyıldızın böyle kötü ürünleri olduğunu bilmiyordum bilsem sipariş vermezdim tekrar geri iadeyle uğraşmak istemedim,0
Altınyıldız takım elbiselerin deki kalite malesef tişört ürünüde bulamadım. Çok çok ince hiç beğenmedim sanki uzun süre giyilmiş de erimiş gibi yorumlara bakarak almıştım pişman oldum.Bir daha asla almam.Tül gibi ince sadece yumuşak onun dışında hiç beğenmedim. Satıcı biliyor ki 5 al 4 öde 🤣yapmış iyiki 1 tane almışım.,0
5 al 4 öde kampanyasından tişört aldım altınyıldız 4 tane gönderdiler,0
Hiç beğenmedim kargolamayı böyle bir kargolama görmedim,0
Ürün Defolu Geldi,0
kumasi bildigimiz pazarda satilan formalarla es deger şıkır şıkır parliyor iade ettim,0
yanlış renk geldi lacivert istedim siyah geldi,0
Ürünün boyu çok uzun geldi,0
"Saçma sapan bi bloger önerisi ile aldım çok kalitesiz ya , yer bile silinmez , gerçekten çok vasat",0
Kalıbı gerçekten çok kötü,0
kalite baklentimi karşılamadı,0
kumaşı iyi ama tişörtün kalıbı hiç iyi değil beğenmedim doğruya doğru,0
Çabuk reng atı,0
kaç kere yıkanmasına rağmen kumaş lekeleri iç çamaşıra ve tene yapışıyor tavsiye etmiyorum. kalitesiz,0
Çok kötü kesinlikle almayın paranıza yazık çok ince tşörtler,0
Defolu ürün geldi!,0
Defolu ürün,0
"1haftadır kargonun gelmesini beklerken ürünlerin iade işlemi gerçekleştirildi diye mail aldım böyle bir talebim yokken, bu mağduriyet karşısında markaya karşı Trendyol'un en ufak bir yaptırımının olmaması buradan artık alış veriş yapmamaya karar verdirtti, kalitesine güvenerek aldığım bir marka da müşteri memnuniyetine karşı gösterdiği bu özensizli",0
penyesini beğenmedim iade ettim,0
"Ürün güzel ama satıcı kötü, faturamı göndermedi",0
atlet fanila gibi duruyor,0
Ürün gayet güzel fakat iki tane aldım bu üründen birisi resimlerde görüldüğü gibi delik çıktı. satıcı firmadan bunun değişimini rica ediyorum çünkü altinyildiza hiç yakışmadı bu,0
ürün slm fit yazılmış. bana basic gelmiş.. vallahi giyemedim çok büyük.. sizin kusurunuz,0
"o kadar pişman oldum ki aldığıma eski altınyildiz siyah t-shirt ler neresi bunlar neresi direk makinaya atmak büyük hata oldu yoksa iade ederdim , eski kalitesinin yanından geçmez 5 adet aldım hepsi çöp vallahi yakışmıyor a.c yakışmıyor pamuk oranı resmen yarıya düşmüş",0
Ürün çok güzel ama sökük geldi lütfen telafi eder misiniz,0
Hiç iyi değil sakın almayın,0
Ürün çok çok kalitesiz. İade ediyorum,0
Ürün yıkandıktan sonra 30 derecede 1 beden çekti ve tüy topluyor dikişleri kötü gerçi 100 liraya artık peçete vermiyorlar 80 90 a düşerse alınır yoksa etmez,0
sipariş verdiğim beden gelmedi,0
Aynı üründen daha önce de almıştım gelen ürün önceki aldığımla alakası hiç yok çok kötü kalitesiz atlet gibi bir şey,0
ürün bir kaç yıkamada ağardı resmen güneş yanığı gibi oldu,0
Alalı 1 ay olmadı 3 defa makinaya attım diğer tşörtlerimle beraber kullanım talimatına uyarak yıkadım şaşırdım böyle oldu bu kadar kısa sürede adi olacakları aklıma gelmezdi 3.cü giymemde böyle yırtıklar oluştu tavsiye etmiyorum maalesef,0
Yıkadıkca rengi gitdi,0
ÇOK KÖTÜ,0
Atlet gibi bir şey 😒 anında iade ettim,0
2 yıldır siyah tişörtlerimi Altınyıldız’dan alıyorum. Son aldıklarımın yakası hiç iyi durmuyor ve 2 yıkanmada aşırı solma yaptı.,0
Yazın asla giyilmez. 😀 rahat bir kıyafet değil. Yıkadıktan sonra ütü gerekir.,0
Tüyleniyor almayın,0
5 al 4 öde kampanyasından aldığım ürünlerden 1'i defolu çıķtı.,0
"Berbat bir tişört slim fit diye aldım bildiğin geniş çuval gibi tişört, vücudu sarmıyor kesinlikle tavsiye etmiyorum.",0
2 tane siyah aldım 1 rengini soluk yollamışlar,0
Soluk pis geldi alınmaz,0
Yanlış beden gönderiyorlar rezillik,0
1.74 boy 83 kilo L beden aldım çok güzel oldu kumaşı dıruşu çok hoş,1
"Tam bedeninizi alabilirsiniz, kalitesi çok iyi 👍🏻",1
çok memnun kaldım tam bedenim oldu teşekkürler,1
Çok güzel tam bedenimi aldım güzel oldu,1
"çok güzel teşekkür ederim, tam bedeninizi alabilirsiniz",1
Bir beden küçük alınabilir.,1
esime cok yakisti bedeni tam oldu,1
"Normalde M giyiyorum fakat L tam oldu , çok yapışsın istemiyorsanız bence bir beden büyük almanız iyi olacak. Tabiki yıkandığında çekme payı olursa diyede düşünmek gerekiyor.Tam yazlık ince beğendim.",1
Gayet güzel l aldım tam oldu bol sevenler bir beden büyük alabilir,1
Bir beden büyük alın,1
Ürün çok başarılı gerçekten tam bedeninizi alabilirsiniz kumaş kaliteli,1
Kadınlar için de çok güzel bir ürün. S bedenini aldım çok iyi durdu ve çok rahat.,1
çok güzel ve kaliteli tam bedeninizi alin,1
tam bedeninizi alın Super,1
"Çok kaliteli, beden ve kesim tam, süper hızlı kargo teşekkürler.",1
Şahane tam bedeninizi alabilirsiniz,1
170 boy 70 kiloyum S beden aldım tam oldu kumaŞı çok iyi,1
Bi beden kücük alın,1
tam beden alın çok kaliteli tekrar sipariş verdim,1
Gercekten kalıte kokuyor tam ıstedıgım gıbı kendı bedenınızı almanızı tavsıye ederım gıyınce kalıtelı oldugu bellı oluyor,1
çok güzel kaliteli bir beden küçük alın,1
Muhteşem Tam bedeninizi alabilirsiniz,1
"İndirimden aldım ürün çok güzel, tam bedeninizi alabilirsiniz.",1
Çok güzel tam beden alınabilir,1
Kendi bedeninizi alın biz L beden aldık beyaz ve 5 rengi daha vardı hiç düşünmeden onuda sipariş verdik çok çok kaliteli ve güzel,1
Çok güzel kendi bedenizi alın,1
Ürün çok kaliteli tam beden alın kargo çok hızlı geldi emeği geçenlere çok teşekkürler,1
Ben çok beğendim.kendi bedeninizi satın alınız,1
1.78-80 kilo eşim için m beden tercih ettik çok hoş oldu,1
"tam beden, ama bir beden büyük alınsa da olur, ürün güzel",1
Çok güzel tavsiye ederim. Tam beden alabilirsiniz.,1
tam beden alabilirsiniz güzel,1
Gayet güzel tam beden alabilirsiniz,1
"Modeli ve kesimi güzel, tam beden alabilirsiniz",1
Çok kaliteli tam bedeninizi alın. Boy 178 kilo 73 M tam oldu.İndirim zamanı aldığım kaliteli ve ucuz,1
Tam beden alabilirsiniz salaş bi ürün ama başarılı 👍,1
Bir beden büyük aldım tam oldu.,1
Çok güzel bayıldık tam beden,1
Kaliteli ürün kesinlikle alınır tam bedeninizi alın,1
Tam bedeninizi alın,1
Çok kaliteli tam beden alın,1
Oğluma almıştım! Çok beğendi Altın yıldız kalitesi !gayet güzel tavsiye ederim! Tam bedeninizi alabilirsiniz!,1
tişört gerçekten çok kaliteli hızlı teslimat bedeninizi alin,1
Eşim için aldık çok sevdi rahat ve kullanışlı. tam bedeninizi alın tavsiye ederim.,1
eşime aldım herkesin dolabında olması gereken bir parça,1
Yumuşacık cok iyi tam bedeninizi alın,1
165 boy 58 kilo için s beden aldım üzerime tam oldu. Kalıp olarak slim fit olması gözünüzü korkutmasın. Öyle üzerinize yapışacak kadar dar bir kesimi yok. Normalde hangi beden giyiyorsanız onu tercih edebilirsiniz.,1
Kaliteli gerçekten almanızı öneririm 1.85 74 kiloyum M çok güzel oldu.Biraz büyük olsun isterseniz L alın zaten slimfit çok sorun yaşamazsınız.,1
5 al 4 ode kampanyasindan faydalandik ve indirimli aldik hepsi cok guzeldi kendi bedeninizi alabilirsiniz altin yildiz kalitesi 👍,1
Çok güzel oldu süper,1
Güzel bir ürün alın aldırın eşimede yakıştı,1
İndirimden aldım çok beğendim,1
Güzel ürünler beğendik,1
Güzellll beğendimm,1
1.70 78 kilo hafif göbekliyim yorumlara bakarak M beden aldım yanılmışım L almak lazımmış yıkanma esneme payı düşünülmeli oğluma verip L beden alacağım,1
tam bedeninizi alabilirsnz,1
Çok güzel duruyor kızım kullanıyor indirimde alın,1
Güzel ürün eşime aldım beğendi,1
Ürün aşırı iyi ve kaliteli,1
184 cm boy 84 kg L beden tam oldu.,1
2 beden büyük alabilirsiniz salaş seviyorsanız eşim çok beğendi.,1
Güzell.....,1
Severek kullanıyoruz,1
biz beğendik tavsiye ederiz.,1
çok güzel tam beden alınmalı,1
Kalite fiyat dengesi iyi rahat,1
giydikce kalitesini vitecegiz,1
180 boy 83 kilo L beden çok iyi oldu. Rengi çok güzel.,1
tam beden dokusu muhteşem,1
eşime aldım gayet güzel beğendi,1
çok güzel ürün teşekkür ederim,1
Yıkadım hwrhangi bir çekme yapmadı 107 kiloya 2xl,1
Kaliteli bunu aldıktan sonra 2 tane daha aldım,1
gayet kaliteli,1
Tam beden fiyat performans,1
Mükemmel kalite,1
harika kalite,1
kaliteli eşim beğndi,1
Normalde L beden giyiyorum XL aldım tam oldu biraz bol olsun istedim çok güzel,1
"Alın aldırın çok begendim, kumaşı kalitesi harika yumuşacık👌",1
Kurtarıcı bir parça. Yalnız giyince de güzel duruyor. Gömleklerini içine de güzel oluyor. Eşim için aldım. Fiyatına göre oldukça iyi. Memnun kaldık.,1
Çok güzel beğendik,1
Çok beğendim önce abime 2 tane almıştım babam da beğenince 2 ona 2 tane daha abime aldım alın pişman olmazsınız kumaşı güzel kaliteli.. Bir beden büyük alınabilir,1
Çok kaliteli,1
çok güzel indirimde herkes alsın,1
çok güzeldi,1
tek kelimeyle kumasina bayıldım,1
Yorumlara bakarak aldım tavsiye ederim kumaşı kalıbı güzel,1
Kaliteli çok güzel,1
tam beden alına bilir,1
kumaş kalitesi güzel,1
Kargo ve paketleme iyiydi teşekkürler kalitesi gerçekten çok güzel eşime XL aldım tam oldu,1
Eşim için aldım çok güzel kumaşı tam bedeninizi alabilirsiniz.,1
çok güzel kupon ile çok uyguna geldi,1
Eşim için aldım sürekli yeniliyorum,1
beğendimmmm,1
Teşekkür ederim. Güzel ürün.,1
çok iyi kaliteli,1
çok güzel oğluma aldım. Ama sanki bir beden büyük alınabilirmiş,1
"gayet güzel,kendi bedeninizi alabilirsiniz",1
Bu fiyata mükemmel,1
güzel sevdim,1
"Çok güzel, kaliteli",1
Tam bedeninizi alabilirsiniz. Kumaşı güzel. 86kg 186 cm L beden iyi oldu.,1
Çok şık kaliteli de,1
kaliteli kuması,1
ürünler oldukça kaliteli duruyor güzel 6 adet farklı rengini aldım 1.76 boy 92 kiloyum XL aldım güzel oldu dar olmadı gönül rahatlığı ile alabilirsiniz...,1
"Renkleri dokusu çok güzel 5 al 4 öde kampanyasından çok uygun fiyata aldım. Yazın efil efil serin tutar, renksiz ,yazısız olması da çok güzel bedeni tam.👍",1
Harika kumaşı😻,1
Çok memnunuz sürekli alıyoruz,1
Çok memnun kaldım yazdıkları gibi %100 pamuk. Beş tane aldım sadece antrasit olan %50 polyester. Önemli değil. Altınyıldız kalitesini beğeniyorum. Damat bohçası için aldım.,1
"Bedeninizi alın, ürünler yumuşak kumaş ve kaliteli",1
Harikaaaaaaaaaa,1
eşim 90 kilo xl beden tam oldu,1
Giy çık cok rahat kaliteli,1
